bag of sift, 200, 5, RGB, nearest neighbor, 11.000000, 0.537333 
bag of sift, 200, 5, RGB, nearest neighbor, 12.000000, 0.530000 
bag of sift, 200, 5, RGB, nearest neighbor, 13.000000, 0.524667 
bag of sift, 200, 5, RGB, nearest neighbor, 14.000000, 0.531333 
bag of sift, 200, 5, RGB, nearest neighbor, 15.000000, 0.535333 
bag of sift, 200, 5, RGB, support vector machine, 10.000000, 0.608667 
bag of sift, 200, 5, RGB, support vector machine, 1.000000, 0.596000 
bag of sift, 200, 5, RGB, support vector machine, 0.100000, 0.583333 
bag of sift, 200, 5, RGB, support vector machine, 0.010000, 0.622000 
bag of sift, 200, 5, RGB, support vector machine, 0.001000, 0.611333 
bag of sift, 200, 5, RGB, support vector machine, 0.000100, 0.605333 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.610667 
bag of sift, 200, 5, RGB, support vector machine, 0.000110, 0.591333 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.618667 
bag of sift, 200, 5, RGB, support vector machine, 0.000020, 0.612000 
bag of sift, 200, 5, RGB, support vector machine, 0.000030, 0.612000 
bag of sift, 200, 5, RGB, support vector machine, 0.000040, 0.600667 
bag of sift, 200, 5, RGB, support vector machine, 0.000050, 0.622000 
bag of sift, 200, 5, RGB, nearest neighbor, 1.000000, 0.508000 
bag of sift, 200, 5, RGB, nearest neighbor, 2.000000, 0.469333 
bag of sift, 200, 5, RGB, nearest neighbor, 3.000000, 0.484000 
bag of sift, 200, 5, RGB, nearest neighbor, 4.000000, 0.518667 
bag of sift, 200, 5, RGB, nearest neighbor, 5.000000, 0.520667 
bag of sift, 200, 5, RGB, nearest neighbor, 6.000000, 0.524667 
bag of sift, 200, 5, RGB, nearest neighbor, 7.000000, 0.539333 
bag of sift, 200, 5, RGB, nearest neighbor, 8.000000, 0.538667 
bag of sift, 200, 5, RGB, nearest neighbor, 9.000000, 0.534000 
bag of sift, 200, 5, RGB, nearest neighbor, 10.000000, 0.530000 
bag of sift, 200, 5, RGB, nearest neighbor, 11.000000, 0.534667 
bag of sift, 200, 5, RGB, nearest neighbor, 12.000000, 0.537333 
bag of sift, 200, 5, RGB, nearest neighbor, 13.000000, 0.543333 
bag of sift, 200, 5, RGB, nearest neighbor, 14.000000, 0.550667 
bag of sift, 200, 5, RGB, nearest neighbor, 15.000000, 0.546667 
bag of sift, 200, 5, RGB, support vector machine, 10.000000, 0.574000 
bag of sift, 200, 5, RGB, support vector machine, 1.000000, 0.595333 
bag of sift, 200, 5, RGB, support vector machine, 0.100000, 0.584667 
bag of sift, 200, 5, RGB, support vector machine, 0.010000, 0.584667 
bag of sift, 200, 5, RGB, support vector machine, 0.001000, 0.581333 
bag of sift, 200, 5, RGB, support vector machine, 0.000100, 0.595333 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.592667 
bag of sift, 200, 5, RGB, support vector machine, 0.000110, 0.589333 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.572000 
bag of sift, 200, 5, RGB, support vector machine, 0.000020, 0.579333 
bag of sift, 200, 5, RGB, support vector machine, 0.000030, 0.596000 
bag of sift, 200, 5, RGB, support vector machine, 0.000040, 0.593333 
bag of sift, 200, 5, RGB, support vector machine, 0.000050, 0.599333 
bag of sift, 200, 5, RGB, nearest neighbor, 1.000000, 0.505333 
bag of sift, 200, 5, RGB, nearest neighbor, 2.000000, 0.476000 
bag of sift, 200, 5, RGB, nearest neighbor, 3.000000, 0.504000 
bag of sift, 200, 5, RGB, nearest neighbor, 4.000000, 0.517333 
bag of sift, 200, 5, RGB, nearest neighbor, 5.000000, 0.538667 
bag of sift, 200, 5, RGB, nearest neighbor, 6.000000, 0.531333 
bag of sift, 200, 5, RGB, nearest neighbor, 7.000000, 0.528667 
bag of sift, 200, 5, RGB, nearest neighbor, 8.000000, 0.530667 
bag of sift, 200, 5, RGB, nearest neighbor, 9.000000, 0.525333 
bag of sift, 200, 5, RGB, nearest neighbor, 10.000000, 0.522000 
bag of sift, 200, 5, RGB, nearest neighbor, 11.000000, 0.522667 
bag of sift, 200, 5, RGB, nearest neighbor, 12.000000, 0.528667 
bag of sift, 200, 5, RGB, nearest neighbor, 13.000000, 0.526000 
bag of sift, 200, 5, RGB, nearest neighbor, 14.000000, 0.530667 
bag of sift, 200, 5, RGB, nearest neighbor, 15.000000, 0.534000 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 10.000000, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 1.000000, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.100000, 0.066000 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.010000, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.001000, 0.072000 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000100, 0.068667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000010, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000110, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000010, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000020, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000030, 0.066667 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000040, 0.069333 
bag of sift, 400, 5, GRAYSCALE, support vector machine, 0.000050, 0.066667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.078667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.074667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.076000 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.081333 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.080667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.076000 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.079333 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.082000 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.084667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.082667 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.077333 
bag of sift, 400, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.076667 
