FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.596667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.596667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.588000 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.598000 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.595333 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.574000 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.592667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.598667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.584667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.598667 
spatial pyramid, 1000, 3, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.400667 
spatial pyramid, 1000, 3, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.600667 
