FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 12.000000, 0.533333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 13.000000, 0.527333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 14.000000, 0.536667 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 15.000000, 0.540000 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 10.000000, 0.595333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 1.000000, 0.585333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.100000, 0.592000 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.010000, 0.595333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.001000, 0.594667 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000100, 0.589333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.590000 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000110, 0.593333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.591333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000020, 0.599333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000030, 0.587333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000040, 0.595333 
spatial pyramid, 400, 5, 10, GRAYSCALE, support vector machine, 0.000050, 0.598000 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 1.000000, 0.490000 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 2.000000, 0.489333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 3.000000, 0.493333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 4.000000, 0.508667 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 5.000000, 0.507333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 6.000000, 0.524000 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 7.000000, 0.519333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 8.000000, 0.526667 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 9.000000, 0.523333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 10.000000, 0.524000 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 11.000000, 0.525333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 12.000000, 0.529333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 13.000000, 0.523333 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 14.000000, 0.518667 
spatial pyramid, 400, 5, 10, GRAYSCALE, nearest neighbor, 15.000000, 0.528000 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 10.000000, 0.616000 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 1.000000, 0.625333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.100000, 0.619333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.010000, 0.626000 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.001000, 0.617333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000100, 0.622667 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000010, 0.619333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000110, 0.617333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000010, 0.621333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000020, 0.622000 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000030, 0.620000 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000040, 0.621333 
spatial pyramid, 400, 5, 10, RGB, support vector machine, 0.000050, 0.614667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 1.000000, 0.522667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 2.000000, 0.488667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 3.000000, 0.516667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 4.000000, 0.527333 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 5.000000, 0.548667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 6.000000, 0.544667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 7.000000, 0.534667 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 8.000000, 0.539333 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 9.000000, 0.538000 
spatial pyramid, 400, 5, 10, RGB, nearest neighbor, 10.000000, 0.542667 
